name,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
De Stefani Redentore Millesimato Prosecco DOC,75.0,Italy,Veneto,Prosecco DOC,,2021.0,0.75,11.0,8-10,,sparkling,dry,average,,False,True,,Glera
De Stefani Redentore Pinot Grigio delle Venezie DOC,72.0,Italy,Veneto,Delle Venezie IGT,,2022.0,0.75,13.0,8-10,white,,dry,average,,False,True,,Pinot Grigio
De Stefani Redentore Raboso Trevenezie IGT,77.0,Italy,Veneto,Trevenezie IGT,,2020.0,0.75,13.0,16-18,red,,dry,full,,False,True,,Raboso
De Stefani Redentore Refosco Trevenezie IGT,84.0,Italy,Veneto,Trevenezie IGT,,2021.0,0.75,13.0,15,red,,dry,average,,False,True,,Refosco
De Stefani Redentore Sauvignon Blanc Trevenezie IGT,69.0,Italy,Veneto,Trevenezie IGT,,2021.0,0.75,13.0,8-10,white,,dry,average,,False,True,,Sauvignon Blanc
De Stefani Vènis Trevenezie IGT,99.0,Italy,Veneto,Trevenezie IGT,,2021.0,0.75,13.5,8-10,white,,dry,average,,False,False,,"Chardonnay, Sauvignon Blanc"
Delapierre Tradicion Brut Cava,39.0,Spain,Catalonia,Cava DO,Codorníu Group,,0.75,,,,,dry,,,False,False,,
Delapierre Tradicion Seco Cava,39.0,Spain,Catalonia,Cava DO,Codorníu Group,,0.75,,,,,semi-dry,,,False,False,,
Denis Montanar RW Treottouno Venezia Giulia IGT,189.0,Italy,Friuli,Venezia Gulia IGT,,2017.0,1.5,12.5,15,red,,dry,average,,True,True,,"Cabernet Franc, Merlot, Refosco"
Denis Montanar T. 6-16-9-19-10-1-12-13 Sandrigo Friulano Venezia Gulia IGT,149.0,Italy,Friuli,Venezia Gulia IGT,,2017.0,0.75,11.0,12,white,,dry,light,,True,True,,Friulano
Dialogo Branco Niepoort,79.0,Portugal,Douro,Douro DOC,Niepoort,2020.0,0.75,12.5,11,white,,dry,light,,True,False,,"Codega, Ribagato, Viosinho"
Dialogo Tinto Niepoort,79.0,Portugal,Douro,Douro DOC,Niepoort,2019.0,0.75,13.0,17,red,,dry,average,,True,False,,"Touriga Nacional, Tinta Roriz, Tinta Amarela"
Dingle Fifth Release Single Pot Still Whisky w tubie,519.0,Ireland,Kerry County,,,,0.7,46.0,,,,,,,False,False,,
DiVino Franconia Kerner Kabinett Feinherb,69.0,Germany,Franconia,,Divino,2021.0,0.75,11.5,10-12,white,,semi-dry,average,,False,False,,Kerner
DiVino Franconia Müller-Thurgau Kabinett Feinherb,69.0,Germany,Franconia,,Divino,2020.0,0.75,11.0,10-12,white,,semi-dry,average,,False,False,,Müller Thurgau
DiVino Franconia Müller-Thurgau Trocken,69.0,Germany,Franconia,,Divino,2021.0,0.75,11.5,10-12,white,,dry,average,,False,False,,Müller Thurgau
DiVino Franconia Silvaner Trocken,55.0,Germany,Franconia,,Divino,2021.0,0.75,11.5,10-12,white,,dry,average,,False,False,,Silvaner
DiVino Franconia Spatburgunder Trocken,69.0,Germany,Franconia,,Divino,2019.0,0.75,13.0,16,red,,dry,average,,False,False,,Pinot Noir
Doga delle Clavule Morellino di Scansano DOCG,89.0,Italy,Tuscany,Morellino di Scansano DOCG,,2018.0,0.75,13.0,16,red,,dry,average,,False,False,,"Merlot, Sangiovese, Alicante"
Doga delle Clavule Vermentino Toscana IGT,69.0,Italy,Tuscany,Toscana IGT,,2020.0,0.75,13.0,8,white,,dry,average,,False,False,,Vermentino
Dom Pérignon Rosé Vintage w pudełku,2299.0,France,Champagne,Champagne AOC,,2008.0,0.75,,,,champagne,dry,full,Decanter Gold,False,False,98.0,Pinot Noir
Dom Perignon Vintage w pudełku,1299.0,France,Champagne,Champagne AOC,,2013.0,0.75,,,,champagne,dry,full,,False,False,95.0,"Chardonnay, Pinot Noir"
Domaine Chandon de Briailles Pernand Les Vergelesses 1er Cru AOC Bio,388.0,France,Burgundy,Pernand Vergelesses 1er Cru AOC,Domaine Chandon de Briailles,2018.0,0.75,,16,red,,dry,average,,False,True,,Pinot Noir
"Domaine Chandon de Briailles Pernand Vergelesses ""Île des Vergelesses"" Blanc Bio",535.0,France,Burgundy,Pernand Vergelesses AOC,Domaine Chandon de Briailles,2018.0,0.75,,12,white,,dry,average,,False,True,,Chardonnay
"Domaine Chandon de Briailles Pernand Vergelesses ""Île des Vergelesses"" Rouge Bio",419.0,France,Burgundy,Pernand Vergelesses AOC,Domaine Chandon de Briailles,2018.0,0.75,,12,red,,dry,average,,False,True,,Pinot Noir
"Domaine Chandon de Briailles Savigny-Les-Beaune 1er Cru ""Les Laviers"" Bio",397.0,France,Burgundy,Savigny-Les-Beaune 1er Cru AOC,Domaine Chandon de Briailles,2019.0,0.75,12.5,16,red,,dry,average,,False,True,93.0,Pinot Noir
Domaine Chanson Gevrey-Chambertin AOC,340.0,France,Burgundy,Gevrey Chambertin AOC,,2018.0,0.75,13.0,16-18,red,,dry,full,,False,False,,Pinot Noir
Domaine Chanson Montagny 1er Cru AOC,169.0,France,Burgundy,Montagny 1er Cru AOC,,2018.0,0.75,13.5,12,white,,dry,average,,False,False,,Chardonnay
Domaine Chanson Morgon AOC,85.0,France,Beaujolais,Morgon AOC,,2013.0,0.75,12.5,15,red,,dry,average,,False,False,,Gamay
Domaine Chanson Pommard 1er Cru Les Charmots AOC,517.0,France,Burgundy,Pommard AOC,,2018.0,0.75,13.5,16-18,red,,dry,full,,False,False,93.0,Pinot Noir
Domaine Chanson Savigny-lès-Beaune Hauts Marconnets 1er Cru AOC,259.0,France,Burgundy,Savigny-les-Beaune AOC,,2020.0,0.75,13.5,12,white,,dry,average,,False,False,,Chardonnay
Domaine de Bila-Haut L'Esquerda Côtes-du-Roussillon Villages AOC,129.0,France,Roussillon,Cotes du Roussillon AOC,Maison Michel Chapoutier,2018.0,0.75,,18,red,,dry,,,False,False,93.0,"Syrah, Grenache, Carignan"
Domaine de Bila-Haut Occultum Lapidem Blanc Côtes-du-Roussillon Villages AOC,126.0,France,Roussillon,Cotes du Roussillon AOC,Maison Michel Chapoutier,2017.0,0.75,,12,white,,dry,,,False,False,,"Grenache Blanc, Vermentino"
Domaine de Bila-Haut Occultum Lapidem Côtes-du-Roussillon Villages AOC,126.0,France,Roussillon,Cotes du Roussillon AOC,Maison Michel Chapoutier,2018.0,0.75,,16-18,red,,dry,,,False,False,91.0,"Syrah, Grenache, Carignan"
Domaine de la Loge Pouilly-Fume AOP,107.1,France,Loire Valley,Pouilly Fumé AOC,Domaine de la Loge,2022.0,0.75,12.5,10-12,white,,dry,,,False,False,,Sauvignon Blanc
Domaine des Roches Neuves Clos de L'Echelier rouge,281.7,France,Loire Valley,Saumur-Champigny AOC,Domaine de Roches Neuves,2015.0,0.75,13.5,15,red,,dry,average,,False,True,,Cabernet Franc
Domaine des Roches Neuves Clos Romans,287.1,France,Loire Valley,Saumur AOC,Domaine de Roches Neuves,2015.0,0.75,,12,white,,dry,average,,False,True,,Chenin Blanc
Domaine des Roches Neuves Franc de Pied,220.5,France,Loire Valley,Saumur-Champigny AOC,Domaine de Roches Neuves,2021.0,0.75,13.0,16,red,,dry,average,,False,True,,Cabernet Franc
Domaine des Roches Neuves L'Echelier blanc,281.7,France,Loire Valley,Saumur AOC,Domaine de Roches Neuves,2015.0,0.75,,12,white,,dry,average,,False,True,,Chenin Blanc
Domaine des Roches Neuves les Memoires,256.5,France,Loire Valley,Saumur-Champigny AOC,Domaine de Roches Neuves,2016.0,0.75,13.5,15,red,,dry,average,,False,True,,Cabernet Franc
Domaine des Roches Neuves Marginale Saumur-Champigny,197.1,France,Loire Valley,Saumur-Champigny AOC,Domaine de Roches Neuves,2016.0,0.75,13.0,16,red,,dry,average,,False,True,,Cabernet Franc
Domaine des Roches Neuves ROCHE Saumur-Champigny,112.5,France,Loire Valley,Saumur-Champigny AOC,Domaine de Roches Neuves,2021.0,0.75,13.0,16,red,,dry,average,,False,True,,Cabernet Franc
Domaine des Roches Neuves Terres Amphore AOC Saumur Blanc,359.1,France,Loire Valley,Saumur AOC,Domaine de Roches Neuves,2021.0,0.75,13.5,,white,,dry,full,,False,True,,Chenin Blanc
Domaine des Roches Neuves Terres Chaudes Saumur-Champigny,166.5,France,Loire Valley,Saumur-Champigny AOC,Domaine de Roches Neuves,2021.0,0.75,13.0,16,red,,dry,average,,False,True,,Cabernet Franc
"Domaine du Trapadis Cotes Du Rhone Blanc ""La P’tite Côte""",99.0,France,Rhône Valley,,Domaine du Trapadis,2020.0,0.75,12.5,12,white,,dry,average,,False,True,,Grenache Blanc
"Domaine du Trapadis Cotes du Rhone Rouge Rasteau ""Les Adrès""",145.0,France,Rhône Valley,,Domaine du Trapadis,2017.0,0.75,14.0,16-18,red,,dry,average,,False,True,,"Grenache, Mourvedre / Monastrell, Carignan"
"Domaine du Trapadis Cotes Du Rhone Villages Roaix ""Les Perrieres""",92.0,France,Rhône Valley,,Domaine du Trapadis,2019.0,0.75,13.5,16-18,red,,dry,average,,False,True,,"Grenache, Mourvedre / Monastrell, Carignan"
Domaine du Trapadis Esprit Vin de France,58.0,France,Rhône Valley,Vin de France,Domaine du Trapadis,2020.0,0.75,13.5,16-18,red,,dry,average,,False,True,,Grenache
Domaine La Bohème Festejar! Auvergne VdF,179.0,France,Auvergne,Vin de France,,2019.0,0.75,12.5,16,rose,sparkling,dry,average,,True,True,,"Gamay, Merlot, Syrah"
Domaine La Bohème J Auvergne VdF,169.0,France,Auvergne,Vin de France,,2020.0,0.75,12.5,10-12,orange,,dry,average,,True,True,,Jacquère
Domaine La Bohème MÔL Auvergne VdF,143.0,France,Auvergne,Vin de France,,2019.0,0.75,12.5,16,red,,dry,average,,True,True,,"Carignan, Gamay, Cinsault, Syrah, Merlot, Muscat"
Domaine La Bohème R Auvergne VdF,169.0,France,Auvergne,Vin de France,,2020.0,0.75,12.5,10-12,white,,dry,average,,True,True,,Riesling
"Domaine La Roquete ""Piedlong"" Châteauneuf-du-Pape AOC",307.0,France,Rhône Valley,Châteauneuf du Pape AOC,Vignobles Brunier,2019.0,0.75,,,red,,dry,full,,False,False,91.5,"Grenache Noir, Mourvedre"
Domaine La Roquete Clos la Roquete Blanc Châteauneuf-du-Pape AOC,255.0,France,Rhône Valley,Châteauneuf du Pape AOC,Vignobles Brunier,2018.0,0.75,,,white,,dry,full,,False,False,,"Clairette, Grenache Blanc, Rousanne"
Domaine La Suffrene Bandol,159.0,France,Provence,Bandol AOC,Domaine La Suffrene,2020.0,0.75,15.0,17,red,,dry,full,,False,False,,Carignano/Carignan
Domaine La Suffrene Bandol ROSE,138.0,France,Provence,Bandol AOC,Domaine La Suffrene,2021.0,0.75,14.0,17,rose,,dry,average,,False,False,,Carignano/Carignan
Domaine Les Pallieres Terrasse du Diable Gigondas AOC,223.0,France,Rhône Valley,Gigondas AOC,Vignobles Brunier,2018.0,0.75,,,red,,dry,full,,False,False,91.0,"Grenache Noir, Mourvedre, Clairette"
Domaine Vieux Telegraphe Rouge Chateauneuf-du Pape AOC,456.0,France,Rhône Valley,Châteauneuf du Pape AOC,Vignobles Brunier,2019.0,0.75,14.5,,red,,dry,full,,False,False,,"Grenache, Syrah, Mourvedre, Cinsault"
Domaine Vieux Telegraphe Telegramme Rouge Chateauneuf-du Pape AOC,233.0,France,Rhône Valley,Châteauneuf du Pape AOC,Vignobles Brunier,2020.0,0.75,14.5,,red,,dry,,,False,False,92.5,"Grenache, Syrah, Mourvedre, Cinsault"
Domaine Wach Clevner Alsace AOC,114.0,France,Alsace,Alsace AOC,,2017.0,0.75,12.0,12,white,,dry,light,,True,False,,Pinot Blanc
Domaine Wach Crémant d'Alsace AOC Brut,136.0,France,Alsace,,Domaine Wach,,0.75,12.5,8-10,,sparkling,dry,average,,False,False,,"Chardonnay, Pinot Blanc"
Domaine Wach Crémant d'Alsace Rosé AOC Brut,140.99,France,Alsace,,,,0.75,12.5,8-10,,sparkling,dry,average,,False,False,,Pinot Noir
Domaine Wach Gewürztraminer Andlau Alsace AOC,129.0,France,Alsace,Alsace AOC,,2020.0,0.75,12.5,10-12,white,,semi-dry,average,,True,False,,Gewürztraminer
Domaine Wach Riesling Andlau Alsace AOC,129.0,France,Alsace,Alsace AOC,,2021.0,0.75,12.5,10,white,,dry,average,,True,False,,Riesling
Domaines Ott BY.OTT Rosé Côtes de Provence AOC,165.0,France,Provence,Côtes de Provence AOC,,2021.0,0.75,12.5,10-12,rose,,dry,light,,False,False,,"Cinsault, Grenache, Syrah"
Domaines Ott Clos Mireille Blanc de Blancs Cru Classé Côtes De Provence AOC,269.0,France,Provence,Côtes de Provence AOC,,2019.0,0.75,13.5,10-12,white,,dry,average,,False,False,91.0,"Rolle, Semillon"
Domaines Schlumberger Les Princes Abbés Gewurztraminer Alsace AOP,149.0,France,Alsace,Alsace AOC,,2020.0,0.75,13.0,10-12,white,,semi-sweet,average,,False,False,90.0,Gewürztraminer
Domaines Schlumberger Les Princes Abbés Pinot Gris Alsace AOP,139.0,France,Alsace,Alsace AOC,,2019.0,0.75,13.5,10-12,white,,dry,average,,False,False,92.0,Pinot Gris
Domaines Schlumberger Les Princes Abbés Riesling Alsace AOC,119.0,France,Alsace,Alsace AOC,,2018.0,0.75,13.5,10-12,white,,dry,average,,False,False,,Riesling
Dominio de Eguren Protocolo Blanco Ecológico VdT Castilla,39.0,Spain,Castile-La Mancha,Vino de la Tierra,,2021.0,0.75,12.0,8,white,,dry,light,,False,True,,Macabeo
Dominio de Eguren Protocolo Tinto Ecológico VdT Castilla,39.0,Spain,Castile-La Mancha,Vino de la Tierra,,2021.0,0.75,13.0,14,red,,dry,average,,False,True,,Tempranillo
"Dominio de Pingus ""Flor de Pingus"" Ribera Del Duero DO",611.0,Spain,Ribera del Duero,Ribera del Duero DO,Dominio de Pingus,2019.0,0.75,14.0,,red,,dry,full,,False,True,94.0,Tempranillo
"Dominio de Pingus ""Pingus"" Ribera Del Duero DO",5599.0,Spain,Ribera del Duero,Ribera del Duero DO,Dominio de Pingus,2020.0,0.75,15.0,,red,,dry,full,,False,True,98.333336,Tempranillo
Dominio de Tares Baltos Bierzo DO,88.0,Spain,,Bierzo DO,Dominio de Tares,2018.0,0.75,,,red,,dry,,,False,False,,Mencia
Domodo Bianco Vino d`Italia karton 5l,152.0,Italy,Puglia,,Domodo,,5.0,,,white,,dry,light,,False,False,,"Sauvignon Blanc, Chardonnay"
Domodo Bianco Amabile Vino da Tavola,33.0,Italy,Puglia,,Domodo,,0.75,,,white,,semi-dry,,,False,False,,"Sauvignon Blanc, Chardonnay"
Domodo Chardonnay Puglia IGP,37.0,Italy,Puglia,,Domodo,2021.0,0.75,,,white,,dry,,,False,False,,Chardonnay
Domodo Rosso Amabile Vino da Tavola,33.0,Italy,Puglia,,Domodo,,0.75,,,red,,semi-dry,,,False,False,,"Primitivo, Negroamaro"
Domodo Rosso Vino`d Italia karton 5l,152.0,Italy,Puglia,,Domodo,,5.0,,,red,,semi-dry,,,False,False,,"Primitivo, Negroamaro"
Don Aparo Cabernet Sauvignon,47.0,Argentina,Mendoza,,,2019.0,0.75,13.0,10-12,red,,dry,,,False,False,,Cabernet Sauvignon
Don Aparo Malbec Mendoza,47.0,Argentina,Mendoza,,,2021.0,0.75,13.0,15,red,,dry,average,,False,False,,Malbec
Donnafugata CUORDILAVA Dolce&Gabbana Etna Rosso DOC,845.0,Italy,Sicily,Etna Rosso DOC,,2017.0,0.75,14.0,15,red,,dry,full,,False,False,91.0,Nerello Mascalese
Donnafugata ROSA Dolce&Gabbana Rosato Sicilia DOC,319.0,Italy,Sicily,Rosato Sicilia DOC,,2020.0,0.75,12.5,10-12,rose,,dry,average,,False,False,,"Nocera, Nerello Mascalese"
Donnafugata TANCREDI Dolce&Gabbana Terre Siciliane IGT,535.0,Italy,Sicily,Terre Siciliane IGT,,2018.0,0.75,14.0,15,red,,dry,full,,False,False,,"Tannat, Cabernet Sauvignon, Nero d'Avola"
"Dopff & Irion ""Cuvée René Dopff"" Pinot Noir Alsace AOC",88.0,France,Alsace,Alsace AOC,Chateau De Riquewihr  Dopff & Irion,2017.0,0.75,,,red,,dry,light,,False,False,,Pinot Noir
"Dopff & Irion ""Cuvée René Dopff"" Sylvaner Alsace AOC",58.0,France,Alsace,Alsace AOC,Chateau De Riquewihr  Dopff & Irion,2019.0,0.75,,,white,,dry,,,False,False,,Sylvaner
Dorli Muhr Carnuntum Rot DAC Carnuntum,105.0,Austria,Niederösterreich,Carnuntum DAC,,2019.0,0.75,12.5,15,red,,dry,average,,True,True,90.0,"Blaufränkisch, Syrah"
Dorli Muhr Prellenkirchen Villages Niederösterreich,85.0,Austria,Niederösterreich,,,2017.0,0.75,12.5,12,white,,dry,average,,True,True,92.0,"Grüner Veltliner, Riesling"
Dorli Muhr Ried Spitzerberg Obere Rotered,199.0,Austria,Niederösterreich,,,2019.0,0.75,13.0,16-18,red,,dry,full,,True,True,94.5,Blaufränkisch
Dorli Muhr Rosé Niederösterreich,119.0,Austria,Niederösterreich,,,2022.0,0.75,12.0,10-12,rose,,dry,average,,True,True,,"Cabernet Franc, Blaufränkisch, Zweigelt"
Dorli Muhr Syrah Niederösterreich,199.0,Austria,Niederösterreich,Carnuntum DAC,,2017.0,0.75,13.0,16-18,red,,dry,full,,True,True,95.0,Syrah
Dorli Muhr Zweigelt Nouveau,113.0,Austria,Niederösterreich,,,2022.0,0.75,12.5,10-12,red,,dry,light,,True,True,,Zweigelt
Dr Loosen Blauschiefer Riesling Trocken Mosel,92.0,Germany,,,Dr. Loosen,2020.0,0.75,,,white,,dry,,,False,False,,Riesling
Dr Loosen Dr Riesling Feinherb Mosel,56.0,Germany,Moselle-Saar-Ruwer,,Dr. Loosen,2021.0,0.75,,10-12,white,,semi-dry,,,False,False,,Riesling
Dr Loosen Dr. Riesling Dry,56.0,Germany,Moselle-Saar-Ruwer,,Dr. Loosen,2022.0,0.75,,10-12,white,,dry,average,,False,False,,Riesling
Dr Loosen Dr. Riesling Semi Sweet,56.0,Germany,Moselle-Saar-Ruwer,,Dr. Loosen,2021.0,0.75,,,white,,semi-sweet,,,False,False,,Riesling
Dr Loosen Dr. L Riesling Sparkling Sekt,67.0,Germany,Moselle-Saar-Ruwer,Mosel QmP,Dr. Loosen,,0.75,,,,sparkling,semi-dry,,,False,False,,Riesling
Dr Loosen Erdener Treppchen Riesling Auslese,143.0,Germany,Moselle-Saar-Ruwer,Mosel QmP,Dr. Loosen,2018.0,0.375,,,white,,sweet,,,False,False,95.0,Riesling
Dr Loosen Erdener Treppchen Riesling Kabinett Mosel,104.0,Germany,Moselle-Saar-Ruwer,Mosel QmP,Dr. Loosen,2021.0,0.75,,,white,,semi-sweet,,,False,False,,Riesling
"Dr Loosen Ürziger Würzgarten Riesling Grosses Gewächs ""Alte Reben""",227.0,Germany,Moselle-Saar-Ruwer,Mosel QmP,Dr. Loosen,2020.0,0.75,12.5,,white,,dry,,,False,False,95.0,Riesling
Dr Loosen Ürziger Würzgarten Riesling Qualitätswein GG Reserve,456.0,Germany,Moselle-Saar-Ruwer,,Dr. Loosen,2016.0,0.75,,,white,,dry,,,False,False,,Riesling
Dr Loosen Wehlener Sonnenuhr Riesling Spätlese,161.0,Germany,Moselle-Saar-Ruwer,Mosel QmP,Dr. Loosen,2020.0,0.75,,,white,,sweet,,,False,False,92.0,Riesling
Dr Loosen Weißburgunder Mosel,98.0,Germany,Moselle-Saar-Ruwer,Mosel QbA,Dr. Loosen,2020.0,0.75,,,white,,dry,,,False,False,,
DR. LO Alcohol-free Riesling Dr. Loosen (bezalkoholowe),62.0,Germany,Moselle-Saar-Ruwer,,Dr. Loosen,2018.0,0.75,0.0,10-12,white,,semi-dry,,,True,False,,Riesling
DR. LO Alcohol-free Sparkling Riesling Dr. Loosen (bezalkoholowe),76.0,Germany,Moselle-Saar-Ruwer,,Dr. Loosen,2018.0,0.75,0.0,10-12,,sparkling,semi-dry,,,True,False,,Riesling
Duc Larochet Pinot Noir Île de Beauté IGP,39.0,France,Corsica,Île de Beauté IGP,,2015.0,0.75,12.5,16,red,,dry,light,,False,False,,Pinot Noir
Duchessa Lia Banchetto Rosso Spumante Dolce NV,45.0,Italy,Piedmont,Vino da Tavola (VdT),,,0.75,6.5,7,red,sparkling,sweet,light,,False,False,,"Barbera, Merlot, Dolcetto"
Duchessa Lia Brachetto d'Acqui DOCG NV,61.0,Italy,Piedmont,Brachetto d'Acqui DOCG,,,0.75,7.0,6,red,sparkling,sweet,light,,False,False,,Brachetto
Duchessa Lia Fragolino Bianco Spumante Dolce NV,39.0,Italy,Piedmont,Vino da Tavola (VdT),,,0.75,6.5,6,white,sparkling,sweet,light,,False,False,,Fragolino
Duchessa Lia Fragolino Rosso Spumante Dolce NV,43.0,Italy,Piedmont,Vino da Tavola (VdT),,,0.75,6.5,7,red,sparkling,sweet,light,,False,False,,Fragolino
Duchessa Lia Moscato Spumante Dolce NV,46.0,Italy,Piedmont,Vino da Tavola (VdT),,,0.75,6.5,6,white,sparkling,sweet,light,,False,False,,Moscato
DUO des Mers Sauvignon-Viognier Pays d'Oc IGP,49.0,France,Languedoc (Languedoc),Vin de Pays D Oc,LGI Languedoc Wines,2022.0,0.75,12.0,,white,,dry,,,False,False,,"Sauvignon Blanc, Viognier"
DUO des Mets Merlot-Cabernet Pays d'Oc IGP,45.0,France,Languedoc (Languedoc),Vin de Pays D Oc,LGI Languedoc Wines,2021.0,0.75,13.5,,red,,dry,,,False,False,,"Merlot, Cabernet"
Durif Calabria Three Bridges,121.0,Australia,Riverine,,Calabria Family Wines,2020.0,0.75,14.5,16-18,red,,dry,full,IWC Gold,False,False,,Petite Sirah
Edetária Via Terra Blanc DO Terra Alta,55.0,Spain,Catalonia,Terra Alta DO,,2021.0,0.75,13.0,10,white,,dry,average,,False,True,,Garnacha Blanca
Edetária Via Terra Tinto DO Terra Alta,55.0,Spain,Catalonia,Terra Alta DO,,2021.0,0.75,13.0,15,red,,dry,average,,False,True,,Garnacha
Ego Bressan Cabernet Franc Schiopettino Venezia Gulia IGP,292.0,Italy,Friuli,Venezia Gulia IGT,Bressan,2017.0,0.75,13.0,16-18,red,,dry,average,,False,True,,"Schioppettino, Cabernet Franc"
El Coto Rosado,54.0,Spain,Rioja,Rioja DOC,El Coto de Rioja,2022.0,0.75,13.5,12-14,rose,,dry,light,,False,False,,Tempranillo
El Esteco Don David Reserve Chardonnay Calchaquí Valley,65.0,Argentina,Cafayate,Calchaquí Valley,,2021.0,0.75,14.5,10-12,white,,dry,average,,False,False,90.0,Chardonnay
El Esteco Don David Reserve Malbec Calchaquí Valley,65.0,Argentina,Cafayate,Calchaquí Valley,,2020.0,0.75,14.0,16-18,red,,dry,full,,False,False,,Malbec
El Esteco Don David Reserve Torrontés Calchaquí Valley,65.0,Argentina,Cafayate,Calchaquí Valley,,2021.0,0.75,14.0,10-12,white,,dry,average,,False,False,,Torrontes
El Esteco Finca Notables Cabernet Sauvignon Calchaquí Valley,149.0,Argentina,Cafayate,Calchaquí Valley,,2016.0,0.75,14.5,16-18,red,,dry,full,,False,False,91.5,Cabernet Sauvignon
El Esteco Fincas Notables Malbec Calchaquí Valley,149.0,Argentina,Cafayate,Calchaquí Valley,,2018.0,0.75,14.5,16-18,red,,dry,full,,False,False,,Malbec
El Esteco Old Vines Torrontés Calchaquí Valley,79.0,Argentina,Cafayate,Calchaquí Valley,,2020.0,0.75,14.0,10-12,white,,dry,average,,False,False,95.0,Torrontes
Elegant Frog Cabernet Sauviignon Pays d’Oc IGP,65.0,France,Languedoc (Languedoc),Pays d’Oc IGP,,2020.0,0.75,13.5,16-18,red,,dry,full,,False,False,,Cabernet Sauvignon
Elibo Alaverdi białe półwytrawne,37.0,Georgia,Kakheti,,Elibo,,0.75,12.0,10-12,white,,semi-dry,light,,False,False,,"Mtswane, Rkatsiteli"
Elibo Alaverdi czerwone półwytrawne,37.0,Georgia,Kakheti,,Tamada,,0.75,11.5,16-18,red,,semi-dry,average,,False,False,,Saperavi
Elibo Alazani czerwone półsłodkie,37.0,Georgia,Kakheti,,Tamada,,0.75,11.5,16-18,red,,semi-sweet,average,,False,False,,Saperavi
Elibo Alazani półsłodkie białe,37.0,Georgia,Kakheti,,Shilda,,0.75,12.0,10-12,white,,semi-sweet,light,,False,False,,"Mtswane, Rkatsiteli"
"Els Vinyerons ""Pregadeu"" Cava DO",88.0,Spain,Penedes,Cava DO,Els Vinyerons Vins Naturals,2020.0,0.75,11.5,8,,sparkling,dry,,,False,True,,Xarel.lo
"Els Vinyerons ""Saltamarti"" Penedes DO",79.0,Spain,Penedes,Penedes DO,Els Vinyerons Vins Naturals,2020.0,0.75,12.0,16,red,,dry,,,False,True,,"Garnacha, Tempranillo"
"Elvio Cogno ""Cascina Nuova"" Barolo DOCG",304.0,Italy,Piedmont,Barolo DOCG,Elvio Cogno,2019.0,0.75,,,red,,dry,,,False,False,94.0,Nebbiolo
"Elvio Cogno ""Ravera"" Barolo DOCG",491.0,Italy,Piedmont,Barolo DOCG,Elvio Cogno,2015.0,0.75,,,red,,dry,,Tre Bicchieri Gambero Rosso,False,False,94.0,Nebbiolo
"Elvio Cogno „Anas-Cëtta"" Langhe Nascetta DOC",155.0,Italy,Piedmont,Langhe DOP,Elvio Cogno,2020.0,0.75,,,white,,dry,,Due Bicchieri Gambero Rosso,False,False,,Nascetta
"Elvio Cogno „Montegrilli"" Langhe Nebbiolo DOC",149.0,Italy,Piedmont,Langhe DOP,Elvio Cogno,2020.0,0.75,,,red,,dry,,Due Bicchieri Gambero Rosso,False,False,,Nebbiolo
"Elvio Cogno ""Bricco dei Merli"" Barbera d'Alba DOC",167.0,Italy,Piedmont,Barbera d Alba DOC,Elvio Cogno,2019.0,0.75,,,red,,dry,,Decanter Silver,False,False,90.0,Barbera
"Elvio Cogno ""Mandorlo"" Dolcetto d'Alba DOC",101.0,Italy,Piedmont,Dolcetto d Alba DOC,Elvio Cogno,2021.0,0.75,14.0,18,red,,dry,,,False,False,,Dolcetto
"Elvio Cogno ""Vigna Elena"" Barolo Riserva DOCG",699.0,Italy,Piedmont,Barolo DOCG,Elvio Cogno,2012.0,0.75,,,red,,dry,,Tre Bicchieri Gambero Rosso,False,False,95.0,Nebbiolo
"Elvio Cogno Barbera di Alba DOC „Pre- Phylloxera""",303.0,Italy,Piedmont,Barbera d Alba DOC,Elvio Cogno,2019.0,0.75,,,red,,,,,False,False,,Barbera
Elvio Cogno Moscato d'Asti DOCG,119.0,Italy,Piedmont,Moscato d Asti DOCG,Elvio Cogno,2021.0,0.75,5.5,10,,sparkling,semi-sweet,light,,False,False,,Muscat
"Elvio Cogno „Bordini"" Barbaresco DOCG",233.0,Italy,Piedmont,Barbaresco DOCG,Elvio Cogno,2018.0,0.75,,,red,,dry,,,False,False,,Nebbiolo
Enotria Red Crete PGI,66.0,Greece,Crete,Crete PGI,Douloufakis,2019.0,0.75,14.0,16-18,red,,dry,average,,False,False,,"Liatiko, Syrah, Kotsifali"
Enotria White Crete PGI,65.0,Greece,Crete,Crete PGI,Douloufakis,2021.0,0.75,13.5,10,white,,dry,light,,False,False,,"Muscat, Sauvignon Blanc, Vilana"
Ermitage Jozsef Bock,89.0,Hungary,Villanyi,,József Bock,2017.0,0.75,13.5,16-18,red,,dry,full,,False,False,,Cabernet Sauvignon
Erste+Neue Goldmuskateller Südtirol - Alto Adige DOC,89.0,Italy,Trentino Alto Adige,Alto Adige DOC,,2021.0,0.75,13.5,10,white,,dry,average,,False,False,,Muscat
Erste+Neue Lagrein Südtirol - Alto Adige DOC,109.0,Italy,Trentino Alto Adige,Alto Adige DOC,,2022.0,0.75,13.0,15,red,,dry,average,,False,False,,Lagrein
